dataset,affinity,max_iter,convergence_iter,damping,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,precomputed,434,5,0.8666134261450511,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,467,13,0.5572544343490617,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,350,10,0.7825733265535224,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,189,18,0.8868139284402812,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,368,19,0.591763456115899,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,184,4,0.7548467051756269,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,157,16,0.6035787568820288,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,233,2,0.5762491627409801,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,92,22,0.844816489341145,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,84,5,0.9079858760987669,None,Real,0.02236788347363472,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,euclidean,124,27,0.9609031879458382,None,Real,0.04561395198106766,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,euclidean,179,25,0.6448221941922829,None,Real,0.06925354897975922,0.45892055538156384,0.02437401467300464,0.17050412043292396,0.11237452073349631,0.1328543692940294
vertebral_RL.csv,precomputed,234,2,0.6787009138175356,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,202,7,0.5296019549418116,None,Real,0.027875486761331558,0.45622716358701326,0.019440290707502462,0.16705637221485703,0.10254162517347944,0.12328690428381985
vertebral_RL.csv,precomputed,401,17,0.8320596961523681,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,81,4,0.780996837946482,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,334,18,0.536811910541083,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,60,23,0.93373424552671,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,237,8,0.8074674267708545,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,164,6,0.5675137262551373,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,499,16,0.7093243124756701,None,Real,0.04840196296572685,0.4560392525315795,0.01909689408658683,0.16830917324212658,0.10055620558337278,0.12134298881414741
vertebral_RL.csv,euclidean,327,27,0.8200855682523307,None,Real,0.07962818443775177,0.45620628458085394,0.01941627278739438,0.16712599319655783,0.10143790250112478,0.12219503874273532
vertebral_RL.csv,precomputed,415,17,0.7304021522851936,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,341,28,0.7574460339256712,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,324,2,0.5286212104816059,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,precomputed,75,29,0.630185662884133,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,246,13,0.8974808088359147,None,Real,0.020990297198295593,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,euclidean,413,27,0.5195859920581658,None,Real,0.044598836451768875,0.45810627414135086,0.022883137462198104,0.17563199748733213,0.11342224146341211,0.13386054656437502
vertebral_RL.csv,precomputed,195,2,0.5222550378798863,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,282,27,0.9749270389332372,None,Real,0.03112531080842018,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,euclidean,160,20,0.555499275935708,None,Real,0.0411643385887146,0.4565194696732435,0.020130859558934455,0.17251366794101242,0.10824491789954813,0.12878956118555443
vertebral_RL.csv,euclidean,120,24,0.7577335311409683,None,Real,0.061576832085847855,0.4551414552667293,0.018555825190686877,0.16470031259864537,0.09996294390804657,0.12124638385146315
vertebral_RL.csv,euclidean,349,17,0.8651335906251949,None,Real,0.0879083201289177,0.4551414552667293,0.018555825190686877,0.16470031259864537,0.09996294390804657,0.12124638385146315
vertebral_RL.csv,precomputed,63,15,0.8793787095700722,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,311,22,0.6090602768057033,None,Real,0.045073844492435455,0.45620628458085394,0.01941627278739438,0.16712599319655783,0.10143790250112478,0.12219503874273532
vertebral_RL.csv,euclidean,58,23,0.6862104111236565,None,Real,0.0524953193962574,0.45620628458085394,0.01941627278739438,0.16712599319655783,0.10143790250112478,0.12219503874273532
vertebral_RL.csv,euclidean,380,2,0.5535958841770475,None,Real,0.019225776195526123,0.4544942060757908,0.01774005486883655,0.16287052187095138,0.10253988212833606,0.12455067018368805
vertebral_RL.csv,precomputed,127,19,0.9383554708546062,None,Real,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,euclidean,237,26,0.8685518721114913,None,Real,0.09940169379115105,0.4551414552667293,0.018555825190686877,0.16470031259864537,0.09996294390804657,0.12124638385146315
