param,importance,dataset,imputation,time_taken
convergence_iter,0.13433631959020803,vertebral_RL.csv,True,6.504331774000093
damping,0.21833618793693818,vertebral_RL.csv,True,6.504331774000093
imputation,0.0,vertebral_RL.csv,True,6.504331774000093
max_iter,0.07920957747800689,vertebral_RL.csv,True,6.504331774000093
"('convergence_iter', 'damping')",0.16649447804225953,vertebral_RL.csv,True,6.504331774000093
"('damping', 'max_iter')",0.13535556784542113,vertebral_RL.csv,True,6.504331774000093
"('convergence_iter', 'max_iter')",0.11911823489765563,vertebral_RL.csv,True,6.504331774000093
"('damping', 'imputation')",3.0244998171012e-17,vertebral_RL.csv,True,6.504331774000093
"('convergence_iter', 'imputation')",1.4657267562187794e-17,vertebral_RL.csv,True,6.504331774000093
"('imputation', 'max_iter')",1.2795881354815847e-17,vertebral_RL.csv,True,6.504331774000093
"('max_iter', 'convergence_iter', 'damping')",0.1471496342095106,vertebral_RL.csv,True,6.504331774000093
"('imputation', 'damping', 'convergence_iter')",3.356263157940766e-17,vertebral_RL.csv,True,6.504331774000093
convergence_iter,0.06601778782896528,dense-disk-5000.csv,True,5.358503294999991
damping,0.3113519248669745,dense-disk-5000.csv,True,5.358503294999991
imputation,5.496218520190669e-18,dense-disk-5000.csv,True,5.358503294999991
max_iter,0.09950214452893749,dense-disk-5000.csv,True,5.358503294999991
"('damping', 'max_iter')",0.15808069614250334,dense-disk-5000.csv,True,5.358503294999991
"('convergence_iter', 'damping')",0.1560966585382608,dense-disk-5000.csv,True,5.358503294999991
"('convergence_iter', 'max_iter')",0.07983789576219308,dense-disk-5000.csv,True,5.358503294999991
"('damping', 'imputation')",3.13926897135778e-17,dense-disk-5000.csv,True,5.358503294999991
"('imputation', 'max_iter')",2.2056781628747634e-17,dense-disk-5000.csv,True,5.358503294999991
"('convergence_iter', 'imputation')",1.2516197697285702e-17,dense-disk-5000.csv,True,5.358503294999991
"('max_iter', 'convergence_iter', 'damping')",0.1291128923321655,dense-disk-5000.csv,True,5.358503294999991
"('imputation', 'damping', 'convergence_iter')",2.5383806538319334e-17,dense-disk-5000.csv,True,5.358503294999991
convergence_iter,0.08770515183502724,wine_RL.csv,True,6.094288270000106
damping,0.13227382472518384,wine_RL.csv,True,6.094288270000106
imputation,1.2410919070449822e-17,wine_RL.csv,True,6.094288270000106
max_iter,0.17719337029454807,wine_RL.csv,True,6.094288270000106
"('convergence_iter', 'max_iter')",0.1803620370744728,wine_RL.csv,True,6.094288270000106
"('damping', 'max_iter')",0.17604495363119496,wine_RL.csv,True,6.094288270000106
"('convergence_iter', 'damping')",0.10805120370987152,wine_RL.csv,True,6.094288270000106
"('damping', 'imputation')",4.237236186113833e-17,wine_RL.csv,True,6.094288270000106
"('imputation', 'max_iter')",2.2636695341696408e-17,wine_RL.csv,True,6.094288270000106
"('convergence_iter', 'imputation')",1.2067363220756265e-17,wine_RL.csv,True,6.094288270000106
"('max_iter', 'convergence_iter', 'damping')",0.13836945872970252,wine_RL.csv,True,6.094288270000106
"('imputation', 'damping', 'convergence_iter')",2.8429060431406487e-17,wine_RL.csv,True,6.094288270000106
convergence_iter,0.06425048095434822,disk_4500n.csv,True,5.896197683000082
damping,0.28891057240676704,disk_4500n.csv,True,5.896197683000082
imputation,1.2707003528736215e-18,disk_4500n.csv,True,5.896197683000082
max_iter,0.12756953934276394,disk_4500n.csv,True,5.896197683000082
"('damping', 'max_iter')",0.18616107760636935,disk_4500n.csv,True,5.896197683000082
"('convergence_iter', 'damping')",0.12358459653307897,disk_4500n.csv,True,5.896197683000082
"('convergence_iter', 'max_iter')",0.09222078053457122,disk_4500n.csv,True,5.896197683000082
"('imputation', 'max_iter')",3.715394133217477e-17,disk_4500n.csv,True,5.896197683000082
"('damping', 'imputation')",3.4379433151379885e-17,disk_4500n.csv,True,5.896197683000082
"('convergence_iter', 'imputation')",7.444885739806554e-18,disk_4500n.csv,True,5.896197683000082
"('max_iter', 'convergence_iter', 'damping')",0.1173029526221012,disk_4500n.csv,True,5.896197683000082
"('imputation', 'damping', 'convergence_iter')",6.422729898702823e-17,disk_4500n.csv,True,5.896197683000082
convergence_iter,0.05778972525441182,disk_5000n.csv,True,5.956570399999691
damping,0.28146644833825757,disk_5000n.csv,True,5.956570399999691
imputation,7.969513657588274e-18,disk_5000n.csv,True,5.956570399999691
max_iter,0.12339441536976697,disk_5000n.csv,True,5.956570399999691
"('damping', 'max_iter')",0.20727800633136179,disk_5000n.csv,True,5.956570399999691
"('convergence_iter', 'damping')",0.12753932575628243,disk_5000n.csv,True,5.956570399999691
"('convergence_iter', 'max_iter')",0.07385084202467947,disk_5000n.csv,True,5.956570399999691
"('damping', 'imputation')",3.245188357515457e-17,disk_5000n.csv,True,5.956570399999691
"('imputation', 'max_iter')",1.3768140059805227e-17,disk_5000n.csv,True,5.956570399999691
"('convergence_iter', 'imputation')",9.939674811038181e-18,disk_5000n.csv,True,5.956570399999691
"('max_iter', 'convergence_iter', 'damping')",0.12868123692523994,disk_5000n.csv,True,5.956570399999691
"('imputation', 'damping', 'convergence_iter')",4.828738958337806e-17,disk_5000n.csv,True,5.956570399999691
convergence_iter,0.17250965325304043,blobs.csv,True,10.60421852799982
damping,0.1315677695624662,blobs.csv,True,10.60421852799982
imputation,0.0,blobs.csv,True,10.60421852799982
max_iter,0.11439398819526549,blobs.csv,True,10.60421852799982
"('convergence_iter', 'damping')",0.19991349537886272,blobs.csv,True,10.60421852799982
"('convergence_iter', 'max_iter')",0.13923705498911765,blobs.csv,True,10.60421852799982
