dataset,bin_seeding,cluster_all,max_iter,bandwidth,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,False,False,242,0.33621805410137906,None,Real,0.3381206560006831,0.43875143543167344,0.0003558517966829567,0.05796642185867153,0.0075682238545273966,0.18919400364968306
vertebral_RL.csv,True,False,466,2.4079746725963767,None,Real,0.25937607599189505,0.5592650589831925,-0.0033733070215385655,0.7590900146395779,-0.0023970194243000476,0.0038701726397943306
vertebral_RL.csv,False,True,466,1.479900346578814,None,Real,0.6645692060119472,0.48869401816473534,-0.00611874949022323,0.12082632851845952,0.0916767440545503,0.11908249532266767
vertebral_RL.csv,False,True,201,1.6294976143310305,None,Real,0.5418835949967615,0.4671260048021714,-0.0845185860065099,0.2723226839535799,0.10122360081631065,0.11387388777487974
vertebral_RL.csv,True,False,258,0.9248104881459815,None,Real,0.4953754449961707,0.4443470090823677,-0.006502211614001889,0.08392209695396186,0.06659525421812217,0.1295066834334018
vertebral_RL.csv,False,False,188,1.4511566996880843,None,Real,0.4290977409982588,0.4680446810731809,-0.011623002283658647,0.17766445962927263,0.07809152922505755,0.10429947088387076
vertebral_RL.csv,True,True,415,1.1288852178487887,None,Real,0.4799792330013588,0.44864808435118486,-0.016281245393862546,0.1281646687198128,0.0823336386518649,0.13148380462007775
vertebral_RL.csv,False,False,133,2.106593009283914,None,Real,0.29025643099157605,0.48443470090823676,-0.07108878787153855,0.33112907382177714,0.10256830343372093,0.11016670943537064
vertebral_RL.csv,False,False,459,1.4994769233781693,None,Real,0.6612701670092065,0.49119949890385217,-0.006553354248524898,0.21979525213331907,0.1112024836153337,0.1315098064203635
vertebral_RL.csv,False,True,225,2.1326927160303035,None,Real,0.28275890300574247,0.48627205345025576,-0.079909530571006,0.3006333053608006,0.07679205678407654,0.08800611765295416
vertebral_RL.csv,True,True,297,2.3764802513379855,None,Real,0.21463063699775375,0.5592650589831925,-0.0033733070215385655,0.7590900146395779,-0.0023970194243000476,0.0038701726397943306
vertebral_RL.csv,False,True,440,1.082501088118145,None,Real,0.5388184589974117,0.44858544733270694,-0.009905143769374989,0.11236272710619773,0.08285986390618956,0.1313960551409516
vertebral_RL.csv,True,True,451,1.203471318283105,None,Real,0.47395916300592944,0.4502975258377701,-0.015477627779395643,0.13156470688025704,0.08562146391772057,0.12802924303227486
vertebral_RL.csv,False,False,312,0.641805463297399,None,Real,0.3063084110035561,0.4406305459860111,0.0014907196248455216,0.11828850805261919,0.03979699474810785,0.1550931586815292
vertebral_RL.csv,True,True,313,2.2430557019839075,None,Real,1.3656959739892045,0.501263179872638,-0.07328123772006091,0.3065108365348346,0.06156484828921639,0.07092054213994735
vertebral_RL.csv,True,False,269,0.7209462805603376,None,Real,0.3373656790063251,0.44296899467585343,0.003956134479668274,0.12146972765487705,0.058929726978662784,0.1609770890477289
vertebral_RL.csv,True,True,276,0.37036929392757956,None,Real,0.3099162120051915,0.4389184674809479,0.0005527125739350036,0.08488289604933648,0.01251110644554325,0.18531651224256804
vertebral_RL.csv,False,False,103,0.8282014804462954,None,Real,0.4287653679930372,0.4453283223718551,0.005098129127614312,0.09460592734902301,0.07348092188250367,0.15309237844573254
vertebral_RL.csv,True,True,274,0.8925792033325026,None,Real,0.47524562700709794,0.4440338239899781,-0.006502599903515765,0.08272001678087552,0.06694401985663942,0.1394053808676482
vertebral_RL.csv,False,True,445,2.2693899918151406,None,Real,0.27360265399329364,0.5314959807913143,-0.038119779524472736,0.28347781877448036,0.020016368335404197,0.02855427299544326
vertebral_RL.csv,True,False,403,2.384152796355566,None,Real,0.2308457390026888,0.5592650589831925,-0.0033733070215385655,0.7590900146395779,-0.0023970194243000476,0.0038701726397943306
vertebral_RL.csv,True,False,459,0.3754187955064694,None,Real,0.3232836020033574,0.4389393464871072,0.0005670290807177311,0.08814649760618115,0.013369103340975281,0.18507206681466185
vertebral_RL.csv,True,False,312,1.1056006477656546,None,Real,0.5108970599976601,0.4493162125482827,-0.01366686224939541,0.1274715109336106,0.0850338048803579,0.1359984572528691
vertebral_RL.csv,True,True,274,2.172410011875523,None,Real,0.2568470760015771,0.5025576782545151,-0.07202505120650833,0.3036902473594983,0.05974212297784723,0.06920464050859247
vertebral_RL.csv,False,True,170,1.6105492945342825,None,Real,0.685111048995168,0.4716358701325817,-0.0766463969160516,0.28592934448407376,0.10568549257566807,0.11658694801485
vertebral_RL.csv,True,True,318,2.2336089904711947,None,Real,0.2550493050075602,0.501263179872638,-0.07328123772006091,0.3065108365348346,0.06156484828921639,0.07092054213994735
vertebral_RL.csv,True,False,209,1.3432007530225836,None,Real,0.4244131969899172,0.46416118592754985,-0.008783497132780283,0.16475773436163588,0.07982086766859595,0.11006772999452857
vertebral_RL.csv,True,True,100,1.974495862685817,None,Real,0.3642321049992461,0.4764589205553816,-0.08514416979922526,0.2935854688542583,0.0930678266920127,0.10566377928716739
vertebral_RL.csv,False,True,417,2.1484482701052294,None,Real,0.25611821698839776,0.5025576782545151,-0.07202505120650833,0.3036902473594983,0.05974212297784723,0.06920464050859247
vertebral_RL.csv,False,True,154,0.5111897744401535,None,Real,0.2995510899927467,0.4395030796534085,0.0009721269565077733,0.11673757174785299,0.023976392095819837,0.1693236995826027
vertebral_RL.csv,True,True,335,0.15701443075540436,None,Real,0.20702664701093454,0.4384591293454432,0.0,0.0,-4.5210778452772744e-15,0.19756879081428658
