dataset,n_clusters,init,max_iter,algorithm,n_init,tol,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
vertebral_RL.csv,29,random,216,full,16,0.0219240140219297,,Real,0.21778221102431414,0.4571249608518634,0.0243371613858411,0.11740186364394956,0.14050930824945262,0.16998512885515873,1.2516310897101233,60.96527544109446,0.0,0.05588039165764292,0.11750023769875445,0.3757004815648147
vertebral_RL.csv,27,random,200,elkan,14,0.0531614439521926,,Real,0.032950920052826405,0.4534920137801441,0.017454019323609137,0.10715391591656506,0.12893520369192607,0.17366962261794772,1.2046706522661152,63.47996787734682,0.0,0.055187381250170565,0.1214277757240296,0.3754492609407554
vertebral_RL.csv,39,random,301,elkan,9,0.043095951370555975,,Real,0.023803533986210827,0.4523645474475415,0.01869134962213513,0.10845979734668187,0.1383232474766793,0.15797421591387875,1.2285134728959524,51.87530606547654,0.0,0.05261751780218536,0.10162055491307903,0.359029117881808
vertebral_RL.csv,24,random,468,full,21,0.07866955339106292,,Real,0.04434227896854282,0.45743814594425297,0.023081717585080524,0.1087917019900052,0.12857553611890582,0.18234967272014188,1.190669996836131,67.37458407929833,0.0,0.06123994610533421,0.1285012610209222,0.3922488170720854
vertebral_RL.csv,19,k-means++,494,auto,28,0.03993225069761771,,Real,0.15157363598700613,0.4587744023384487,0.02200323417735399,0.11253867096521868,0.12889944130552394,0.186858965516597,1.252125615491356,76.6284807217537,0.0,0.06396244959955387,0.143498578135637,0.4066854029791082
vertebral_RL.csv,24,k-means++,249,auto,22,0.03731426177276759,,Real,0.1446545699145645,0.45906670842467895,0.02459686741866956,0.12083185881169592,0.1410317201923334,0.18769875490540447,1.2125253805201248,69.78930168198426,0.0,0.053105867312809585,0.1281708362654401,0.3807007660656807
vertebral_RL.csv,31,k-means++,317,auto,9,0.06827215381276852,,Real,0.0756786500569433,0.4539095939033302,0.018939066213192926,0.1140969387889004,0.1389604999447453,0.19230840223792264,1.1619064351019213,65.14060124311231,0.0,0.04582436626122688,0.1136246927415236,0.3532572183428975
vertebral_RL.csv,34,random,51,elkan,25,0.0012997916051091089,,Real,0.0718107590219006,0.4521557573859484,0.017104221274104627,0.1117250372946854,0.13819038337450315,0.17321626916056587,1.1967881691775288,59.65129277616012,0.0,0.046266639936877296,0.10873139433993803,0.3490193869253143
vertebral_RL.csv,19,random,177,auto,9,0.09248133189631476,,Real,0.01761956699192524,0.4605908758743084,0.02633908871123554,0.12855177571829646,0.14422031548711306,0.17420053718317816,1.2598898111577252,72.60060266252648,0.0,0.06545779278037925,0.14373847274848325,0.40678789203134935
vertebral_RL.csv,16,random,317,full,24,0.09504973348124553,,Real,0.04781698994338512,0.4632007516442218,0.027472643857513208,0.10679657312793894,0.12107345089227915,0.19542440818649276,1.2534140418734432,78.53741139661084,0.0,0.07381994691899177,0.15718025049466422,0.4301443457954509
vertebral_RL.csv,7,random,166,full,3,0.04285110670197671,,Real,0.008106761961244047,0.4763754045307443,0.025363000560642453,0.14718271800557256,0.1543422347815792,0.2027076286633302,1.4031839653706693,91.63951821981993,0.022711486476322925,0.0928197538907713,0.22336767605124644,0.4964526112047738
vertebral_RL.csv,32,k-means++,482,auto,19,0.0721443263800769,,Real,0.15497657598461956,0.452531579496816,0.016445276067195192,0.10458138450787216,0.13052992335104516,0.18946545152072666,1.1510178227173724,63.99278952434278,0.0,0.04526916359327247,0.11177905001592188,0.3521605003784332
vertebral_RL.csv,2,k-means++,410,elkan,19,0.03871225084146648,,Real,0.0199884019093588,0.5526881720430108,0.1018519014522182,0.1586750526348482,0.16076846888656268,0.3629017847276513,1.130861059043635,189.33891600065888,0.023829219886076117,0.16831508251635088,0.3627310890837199,0.6024858014651551
vertebral_RL.csv,18,k-means++,440,auto,5,0.0977090287372534,,Real,0.02694873698055744,0.4586908863138114,0.021015839488340845,0.11897827310032495,0.13451887186508432,0.17718281191862492,1.300049318517796,76.0524525881788,0.0,0.06562189566670266,0.1477084825594673,0.4117810002663116
vertebral_RL.csv,33,k-means++,98,elkan,20,0.08439650185859747,,Real,0.16830014204606414,0.4526986115460904,0.01706302059036435,0.10512502798464764,0.13173021311032496,0.18427290675419905,1.135001008114148,62.569017347934846,0.0,0.045097216101615684,0.11022917352691036,0.3505235795282145
vertebral_RL.csv,14,k-means++,303,full,19,0.00028636156494934436,,Real,0.09616611490491778,0.4678776490239064,0.033534030774399384,0.12161333290368165,0.1343736436012364,0.19125197354193307,1.158490095523635,84.44128378984652,0.0,0.08020662651357148,0.1654388051071342,0.4457535957370904
vertebral_RL.csv,16,random,452,elkan,19,0.07931655042278862,,Real,0.0352042029844597,0.4657062323833385,0.03343390207621411,0.11491197119484095,0.12867839135235,0.1789052300457878,1.255894483822814,79.56473170247169,0.0,0.07830464858192605,0.1571534265765784,0.4351677360374308
vertebral_RL.csv,28,k-means++,263,auto,18,0.060934563906213476,,Real,0.13133214600384235,0.4539095939033302,0.017714629536611202,0.10649251608653056,0.12953628514578966,0.17664062939257574,1.2517809244760627,65.01771096611239,0.0,0.05178174424023707,0.11922229667971412,0.3701701033670097
vertebral_RL.csv,39,random,308,auto,5,0.01999548293681046,,Real,0.014794410089962184,0.4505689529178411,0.015446619093630537,0.10399788060809984,0.13402992559472166,0.1683808079516639,1.2586241826662703,52.61985320646638,0.0,0.05462191546314765,0.10195137150912673,0.3638070983340188
