dataset,n_clusters,init,max_iter,algorithm,n_init,tol,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,10,random,242,auto,25,0.0507302276873411,None,Real,0.18425337225198746,0.47491387409959285,0.03725908879697737,0.19173076022410787,0.12828050079192008,0.1379899986561268
vertebral_RL.csv,38,k-means++,69,auto,5,0.08916818161005152,None,Real,0.07894990593194962,0.45006785677001776,0.013194496488099075,0.18691702129019416,0.09976093558764344,0.13043970360967458
vertebral_RL.csv,24,random,493,auto,29,0.02823533863726682,None,Real,0.07103796303272247,0.4584194592337405,0.024889244414091058,0.1818542287391006,0.12120521234779297,0.14069902665406533
vertebral_RL.csv,8,random,201,full,6,0.07681737703681482,None,Real,0.036864981055259705,0.501054389811045,0.08268063560683021,0.1857055473677549,0.1796689875290541,0.18722961221241505
vertebral_RL.csv,34,random,466,auto,13,0.010675405538610952,None,Real,0.12624187022447586,0.4515502662073285,0.015713846745740286,0.17830343064359938,0.1036931661299517,0.13061153918091636
vertebral_RL.csv,38,k-means++,83,elkan,24,0.09396890802787414,None,Real,0.22724194452166557,0.4524063054598601,0.01768054666553447,0.18171894871839986,0.10942932599305086,0.13943470373617162
vertebral_RL.csv,19,random,53,full,3,0.03233108482362893,None,Real,0.008872337639331818,0.4643490969829836,0.03244964788519872,0.17745040528997774,0.13751807612648764,0.15326104407356592
vertebral_RL.csv,21,k-means++,297,full,18,0.05503250229683002,None,Real,0.11532383412122726,0.4588161603507673,0.023248907402682734,0.18580113075746527,0.11960456712992962,0.1374914359467355
vertebral_RL.csv,24,random,118,auto,16,0.030280032073964156,None,Real,0.04254515841603279,0.4563524376239691,0.02146188785971686,0.1725644470146218,0.10082158061451355,0.1207248560295944
vertebral_RL.csv,29,k-means++,256,elkan,2,0.022742658530589488,None,Real,0.016299869865179062,0.45497442321745485,0.01981576832947634,0.17963920863720856,0.1129115820760082,0.13656366507030193
vertebral_RL.csv,14,k-means++,446,elkan,14,0.07887620483913045,None,Real,0.05662607401609421,0.4655600793402234,0.029202409580309435,0.17526383233007617,0.12425746649598159,0.1370679060616064
vertebral_RL.csv,24,random,430,auto,8,0.0686909170967378,None,Real,0.01991293579339981,0.45503706023593277,0.01928933729404418,0.179228323107882,0.11094615656761034,0.13033061002397536
vertebral_RL.csv,26,k-means++,54,elkan,6,0.003760807119909686,None,Real,0.046363022178411484,0.4539722309218081,0.01787723692458109,0.1804958112323578,0.10547639080022547,0.12672129205683158
vertebral_RL.csv,39,k-means++,103,elkan,6,0.05583187276404809,None,Real,0.059313587844371796,0.4513832341580541,0.015931469573379462,0.1904840845423865,0.11568738712502805,0.14632091642423745
vertebral_RL.csv,27,k-means++,137,elkan,6,0.014823134778978647,None,Real,0.04658786579966545,0.4547447541497025,0.018227545817971723,0.18662700692895282,0.10787097704424982,0.1306193186249524
vertebral_RL.csv,35,random,247,elkan,28,0.06758735662855557,None,Real,0.06942926347255707,0.451174444096461,0.015556957269213448,0.17569423900328276,0.09827392557307453,0.12584874497239154
vertebral_RL.csv,32,k-means++,225,auto,20,0.012134190904694558,None,Real,0.17343419045209885,0.4520304833489926,0.01578131740605139,0.18810050660122693,0.10290988271406024,0.12878419425725268
vertebral_RL.csv,21,k-means++,420,full,12,0.07753464825992817,None,Real,0.07591477036476135,0.4578557260674392,0.02087969601550958,0.18659420330464774,0.11431755126288937,0.13243871196242363
vertebral_RL.csv,20,random,141,full,16,0.00988672954543141,None,Real,0.03675071895122528,0.45802275811671367,0.021744345698928347,0.18168201132182982,0.11652466071693171,0.1333095080114209
vertebral_RL.csv,20,random,297,auto,15,0.07647701807341654,None,Real,0.03531178459525108,0.46167658419459234,0.02928046693328429,0.17278615530294522,0.13376297727921457,0.15001618267178246
vertebral_RL.csv,22,k-means++,474,auto,11,0.09878713854174413,None,Real,0.06617699936032295,0.45762605699968684,0.021323381445021404,0.1834781368467529,0.11295664736547528,0.13181264751228872
vertebral_RL.csv,7,k-means++,174,auto,28,0.006355604091073291,None,Real,0.08829401060938835,0.5028708633469047,0.07959738053522467,0.20531823603762736,0.16097314102681187,0.16812633116092593
vertebral_RL.csv,29,k-means++,488,full,4,0.08430148574036629,None,Real,0.03338988497853279,0.45466123812506526,0.019483640679210597,0.179810040077409,0.10544252611657495,0.1291952477514682
