dataset,n_clusters,n_init,affinity,n_neighbors,assign_labels,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,17,5,nearest_neighbors,24,kmeans,None,Real,0.5911668249973445,0.46501722518008143,0.034543838873255274,0.17902478832487376,0.11827955748258279,0.13217928913948276
vertebral_RL.csv,31,9,nearest_neighbors,6,discretize,None,Real,0.13999287299520802,0.4527821275707276,0.01885226424970803,0.138259692665204,0.10636662898379709,0.12982137564560337
vertebral_RL.csv,2,6,nearest_neighbors,25,discretize,None,Real,0.026934761001029983,0.5735462991961583,0.1468009863597972,0.35019619067711244,0.16142483982927638,0.16348781296646192
vertebral_RL.csv,22,8,nearest_neighbors,35,kmeans,None,Real,0.16665801100316457,0.459818352646414,0.028051032167772928,0.1589205546760612,0.13520145949350787,0.1521664953661212
vertebral_RL.csv,11,10,rbf,36,discretize,None,Real,0.5608232119993772,0.47161499112642236,-0.008802024693893738,0.0973475655769766,0.05362525946300005,0.06255436393476578
vertebral_RL.csv,17,27,rbf,16,kmeans,None,Real,0.41674474000319606,0.4596513205971396,-0.11037045959254169,0.03820221054910389,0.07475843532156293,0.10884327268266472
vertebral_RL.csv,9,17,nearest_neighbors,18,discretize,None,Real,0.021684209998056758,0.4774193548387097,0.045907757780356565,0.16289767055616258,0.11124761643139013,0.11960564977277402
vertebral_RL.csv,26,8,nearest_neighbors,30,kmeans,None,Real,0.155657830000564,0.4566447437101994,0.02391139296325509,0.1423486502747403,0.11256092571663728,0.1327356954753379
vertebral_RL.csv,4,18,rbf,11,kmeans,None,Real,0.37930824200157076,0.5308069735880572,-0.0427638248676481,0.3168391952293572,0.03216767378612937,0.045289404430646184
vertebral_RL.csv,4,11,nearest_neighbors,9,kmeans,None,Real,0.051946311999927275,0.5247938198141768,0.10428163472593853,0.19650940181422893,0.1633004968110891,0.16737612827438264
vertebral_RL.csv,4,13,rbf,34,kmeans,None,Real,0.23207242399803363,0.5308069735880572,-0.0427638248676481,0.3168391952293572,0.03216767378612937,0.045289404430646184
