dataset,n_clusters,affinity,linkage,compute_full_tree,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,27,euclidean,average,auto,None,Real,0.0022585764527320857,0.4617601002192296,0.003118233794360141,0.12872046387245006,0.10912455364834599,0.14006337689024306
vertebral_RL.csv,4,manhattan,average,True,None,Real,0.002709593623876572,0.4951665100741205,-0.056259689488968236,0.3525940915712141,0.11563453456671835,0.12436259378058108
vertebral_RL.csv,27,l2,average,False,None,Real,0.0027225613594055176,0.4617601002192296,0.003118233794360141,0.12872046387245006,0.10912455364834599,0.14006337689024306
vertebral_RL.csv,21,euclidean,ward,True,None,Real,0.002984616905450821,0.4571249608518634,0.01981922547964915,0.16729020082849894,0.10950184971497992,0.1275928443324368
vertebral_RL.csv,9,cosine,single,True,None,Real,0.0016723871231079102,0.5571562793611025,0.0110747141713901,-0.3711866112939378,0.011051708270693213,0.04821548721709687
vertebral_RL.csv,3,cosine,average,True,None,Real,0.002563118934631348,0.568284789644013,0.14402002501934624,0.06522215932796215,0.18113879432296287,0.1848720679825744
vertebral_RL.csv,36,l1,single,auto,None,Real,0.0017473213374614716,0.5007620837248147,-0.07104263537589864,-0.19775243833723893,-0.0314113443627052,0.07245555967259283
vertebral_RL.csv,34,manhattan,complete,True,None,Real,0.002608612179756165,0.4509447750287086,0.011806074786125845,0.1339278549023763,0.09236058133575732,0.12186157533817905
vertebral_RL.csv,15,euclidean,complete,auto,None,Real,0.002699952572584152,0.4646414030692139,0.013282622882158871,0.1370423620565002,0.11343464364745437,0.129543338784363
vertebral_RL.csv,33,l2,average,True,None,Real,0.0027568377554416656,0.4563941956362877,-0.005064411668876086,0.11933307792216892,0.10463234710682444,0.14110578476734847
vertebral_RL.csv,14,euclidean,average,False,None,Real,0.002792906016111374,0.4950412360371647,0.03572507219665085,0.1874869367976641,0.10540173974800623,0.12709484263015866
vertebral_RL.csv,39,euclidean,complete,False,None,Real,0.0027213580906391144,0.4512788391272575,0.0132926855495219,0.15266143161912182,0.10510049877311052,0.13805177831827245
vertebral_RL.csv,20,cosine,single,True,None,Real,0.0017294920980930328,0.55542332184988,0.03735139317085987,-0.389006732424408,0.04856742273160742,0.10844548273107202
vertebral_RL.csv,17,cosine,single,auto,None,Real,0.0017402470111846926,0.5665727111389498,0.05112340548839543,-0.3889489760120314,0.04437305253746095,0.10091375365970162
vertebral_RL.csv,20,manhattan,complete,auto,None,Real,0.0025798231363296513,0.4629293245641508,0.02378572609924711,0.1487757110454887,0.1056668158197256,0.12505902607315586
vertebral_RL.csv,24,manhattan,average,False,None,Real,0.002739984542131424,0.459275498486272,-0.0043085806433215,0.14899371217774593,0.10672947579660748,0.13485596627820512
vertebral_RL.csv,19,l1,complete,False,None,Real,0.0025564804673194885,0.4633469046873369,0.02352303771832219,0.15081609567160018,0.10628531606065636,0.12498436484208295
vertebral_RL.csv,35,cosine,complete,auto,None,Real,0.002702672034502029,0.4556425514145527,0.020944945490246718,0.07374616176301821,0.12235713055532528,0.15118872971762484
vertebral_RL.csv,7,l2,single,auto,None,Real,0.0018564723432064054,0.5481991857187598,-0.019440588221207863,0.13326264063339424,-0.0124503747886219,0.020102004454501683
vertebral_RL.csv,31,manhattan,complete,auto,None,Real,0.002629701048135757,0.4515293872011692,0.011385910276956368,0.1441227449594047,0.09481968725033388,0.1224039254870536
vertebral_RL.csv,28,l1,complete,auto,None,Real,0.002605244517326355,0.4533667397431882,0.01414973867034006,0.14958546016358232,0.09598754022116301,0.12093735982958387
vertebral_RL.csv,10,cosine,single,False,None,Real,0.0017078332602977753,0.5594320910324668,0.02112836290433877,-0.3680036645297587,0.01140324098275282,0.050768760968050976
vertebral_RL.csv,34,l1,complete,True,None,Real,0.002639707177877426,0.4509447750287086,0.011806074786125845,0.1339278549023763,0.09236058133575732,0.12186157533817905
vertebral_RL.csv,27,l1,single,auto,None,Real,0.0017098747193813324,0.5127257542540975,-0.0599445868547598,-0.17624688672858266,-0.02906696364737257,0.06007626784049948
vertebral_RL.csv,39,l2,complete,True,None,Real,0.0026972107589244843,0.4512788391272575,0.0132926855495219,0.15266143161912182,0.10510049877311052,0.13805177831827245
vertebral_RL.csv,20,l1,single,True,None,Real,0.0016675852239131927,0.5181751748616766,-0.059910936818472635,-0.10600396903454802,-0.022570397471851654,0.0512936239405628
vertebral_RL.csv,5,cosine,single,True,None,Real,0.0016867928206920626,0.5615826286668755,0.007252031090201889,-0.3331382346476487,0.004832274306214673,0.02745575298782226
vertebral_RL.csv,34,manhattan,single,auto,None,Real,0.0017230883240699768,0.4991335212443888,-0.07616214479598962,-0.1982470876485569,-0.0307945092286083,0.06901458520694162
vertebral_RL.csv,15,cosine,complete,auto,None,Real,0.0026059970259666447,0.47084246789852796,0.037094189159367776,0.08768753512968147,0.13892591611043356,0.15237443727632047
vertebral_RL.csv,11,manhattan,single,False,None,Real,0.0016290172934532163,0.5397223092180812,-0.03135545607280092,-0.04690790576915282,-0.018680705839164976,0.030317433138264613
vertebral_RL.csv,3,l2,single,auto,None,Real,0.0017932951450347898,0.5570101263179873,-0.006692871398006651,0.4675897347506101,-0.004651598954551606,0.007505171420531827
vertebral_RL.csv,3,l1,single,False,None,Real,0.001698080450296402,0.5570101263179873,-0.006692871398006651,0.4646834363637228,-0.004651598954551606,0.007505171420531827
vertebral_RL.csv,5,l1,complete,auto,None,Real,0.0024905279278755192,0.48397536277273207,-0.01979749946386807,0.3066658779142171,0.12278103047770955,0.13069893580618194
