dataset,n_clusters,affinity,linkage,compute_full_tree,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
vertebral_RL.csv,27,l2,complete,auto,,Real,0.002131943008862436,0.4565612276855622,0.016194901346279482,0.12255877721043736,0.1468071981960734,0.14402495025866,1.1704470376835794,57.37038816185317,0.0,0.059207718842764004,0.1208682388213618,0.40277035228499375
vertebral_RL.csv,29,euclidean,complete,True,,Real,0.002045510918833316,0.4555590353899154,0.014719797717893512,0.11979346899701702,0.14588999028813635,0.1495398397715916,1.1367434418989537,56.09034397628536,0.0,0.056702900103265376,0.11667104967263607,0.39745932660397065
vertebral_RL.csv,20,l1,ward,auto,,Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,39,l2,average,False,,Real,0.001987049006856978,0.4533041027247103,-0.0040890632654023,0.09916602980854447,0.1404153154561447,0.11629594612633508,0.8438548969102434,37.922557673633655,0.0,0.057084352208959674,0.09970178703382987,0.4294239648653584
vertebral_RL.csv,25,l1,single,True,,Real,0.0013374428963288665,0.5163378223196576,-0.05542082500075519,-0.02755349696519773,0.057613275142905276,-0.18108486656147146,0.5738424370993078,4.866832569161196,0.0,0.21807399418343212,0.0667140434005375,0.6002950207656329
vertebral_RL.csv,9,manhattan,ward,False,,Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vertebral_RL.csv,29,l1,complete,True,,Real,0.0021535420091822748,0.4515293872011692,0.011312635272473004,0.0947379477424736,0.12032358721369585,0.14822253499000068,1.2216270180751496,57.76820428702989,0.0,0.05939858882927234,0.11732608154917674,0.3918441432111394
vertebral_RL.csv,17,euclidean,complete,False,,Real,0.0020305690122768287,0.4612590040714062,0.00859812027441006,0.1188380943666459,0.13669970818581528,0.1361004338150632,1.1915198490438854,60.50532156584033,0.0,0.08102179040223191,0.14750283678936071,0.4672655502634657
vertebral_RL.csv,22,l2,single,auto,,Real,0.0014385649701580405,0.5199916483975363,-0.05419281466470175,-0.032093198545595315,0.04819498117630221,-0.16758707347645588,0.5703691434782732,4.81074406928584,0.0,0.2294941958749179,0.06425905660438874,0.5995184057875866
vertebral_RL.csv,32,cosine,complete,False,,Real,0.002015518955886364,0.4578974840797578,0.024486556990044882,0.12608120003567147,0.15247042963147006,0.08045315967306277,1.4277597868167908,30.465193004494605,0.028415604981694525,0.08374064070633835,0.10600432774349842,0.4358613952470061
vertebral_RL.csv,25,l2,single,auto,,Real,0.0014630249934270976,0.5127048752479382,-0.06334844095370712,-0.03132323049698065,0.05415598863948424,-0.15732748190263676,0.5757523683573932,4.7102374113076335,0.0,0.2298238959150153,0.06434209898314125,0.6091247553212206
vertebral_RL.csv,25,euclidean,complete,auto,,Real,0.0029524409910663962,0.4584403382398998,0.015833125674445763,0.12382993459457815,0.14700236063619684,0.1347330175329928,1.2121617401019888,56.57444911464041,0.0,0.06443030690780842,0.12531120201951956,0.4204322554305439
vertebral_RL.csv,32,manhattan,complete,auto,,Real,0.002011708915233612,0.4512162021087796,0.010890121213934062,0.09327305101794152,0.121840471116008,0.14320173953205778,1.1892508086590623,54.39367545664044,0.0,0.058348374063900366,0.1117687954488645,0.38942122332434254
vertebral_RL.csv,8,euclidean,complete,False,,Real,0.0019478470785543325,0.4710721369662804,0.004790567540504839,0.12891818960778895,0.13816137929193004,0.2399138589281257,1.195811755352979,89.16676332059538,0.0,0.09100981934786616,0.20463137278016047,0.5034102085959464
vertebral_RL.csv,29,l2,single,auto,,Real,0.001452525961212814,0.4993840693183004,-0.07897197293663061,-0.02251481483538587,0.06541264114417096,-0.13862173101401642,0.5860176282288542,5.2388979804443405,0.0,0.20146661584713133,0.0717107895651906,0.6010072995446514
vertebral_RL.csv,7,euclidean,average,False,,Real,0.0019465169170871375,0.4922225702056582,-0.0469112154421432,0.08688408944177556,0.10376227207136632,0.21094031537796729,0.6859816554223912,38.97304548076816,0.0,0.12530514744515486,0.2025986372148258,0.562151228884457
vertebral_RL.csv,5,euclidean,single,False,,Real,0.001425525057129562,0.5525628980060551,-0.013172158002522787,-0.008776500794597577,0.01415635069465546,0.3690110620532805,0.348214527090297,11.95043879128935,0.0,0.08730469357970888,0.09920490123051934,0.3918713889792031
vertebral_RL.csv,7,cosine,complete,auto,,Real,0.0019645169377326965,0.5020565821066917,0.0653583205069938,0.15933922971433198,0.1669089825118745,0.15546453870053073,1.276187784210198,70.4691330751333,0.02749906225003295,0.12577633099042032,0.21213187627676192,0.5451863027486408
vertebral_RL.csv,12,l2,average,False,,Real,0.001997847924940288,0.4958763962835369,0.037130897555665864,0.1108320743858548,0.12914861020366938,0.1979409309467072,0.8286457074961999,53.75358033742555,0.0,0.08795972789142023,0.1660659156889672,0.5104843034873652
vertebral_RL.csv,29,cosine,average,True,,Real,0.0021158009767532353,0.4656644743710199,0.027553581671438742,0.13675716527899412,0.1642570873704706,0.044142455744693485,1.2554182372294445,28.388278791479543,0.0,0.09340626185758943,0.11170321498107944,0.4708495083613144
vertebral_RL.csv,2,l2,complete,False,,Real,0.0018935760017484426,0.5592650589831925,-0.0033733070215385646,-0.002397019424300048,0.0038701726397943306,0.7590900146395779,0.16977775897443764,29.37143501141052,0.0,-1.2917744285458204e-13,0.12382791316231274,0.23480461997052074
