dataset,eps,min_samples,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
disk_1000n.csv,0.01403250762076259,11,manhattan,brute,28,,Synthetic,0.012785802013240756,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.2985095805976385,11,euclidean,auto,19,,Synthetic,0.009228818002156913,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.8981484011943199,12,manhattan,ball_tree,30,,Synthetic,0.007989507052116096,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6510956556438254,11,euclidean,auto,27,,Synthetic,0.009334287024103105,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.0955347575137844,19,l1,auto,36,,Synthetic,0.0040765060111880285,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.6043441466836885,19,manhattan,auto,22,,Synthetic,0.013089190004393458,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.963366136793374,12,l1,brute,5,,Synthetic,0.01544291200116277,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.463506499428108,10,manhattan,brute,21,,Synthetic,0.014609756995923815,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.882769989158088,14,l1,ball_tree,28,,Synthetic,0.007366884965449572,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.9343529655539796,16,euclidean,brute,38,,Synthetic,0.03274046303704381,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.8247633805868212,3,l1,kd_tree,45,,Synthetic,0.0101731390459463,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.33860045314583403,7,euclidean,auto,19,,Synthetic,0.00757082097698003,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.10169552250873087,18,l2,ball_tree,9,,Synthetic,0.0031795670511201024,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.2776486764374346,17,manhattan,brute,40,,Synthetic,0.014855628949590027,0.6937537537537537,0.4038031636733742,0.3690371555919699,0.37120758936767984,-0.06920458688621052,2.0497423047284213,48.2843757593506,0.04861387545801276,0.15627944096904814,0.13289329036043535,5.030069979690501
disk_1000n.csv,0.6152767225436445,18,l2,kd_tree,6,,Synthetic,0.0129251959733665,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.13214602296130876,13,l1,ball_tree,34,,Synthetic,0.003524412051774561,0.5903283283283284,0.034951402026479436,0.045114622235094055,0.04660913469419088,-0.2553333106131508,3.2093900006677107,1.2168705247686231,0.0,0.02237170557512498,0.034005344873188105,inf
disk_1000n.csv,0.05251589482056826,15,l2,brute,24,,Synthetic,0.03873984096571803,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.8806414147872906,13,l1,auto,39,,Synthetic,0.013869641930796206,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.8136232394259558,13,l2,kd_tree,38,,Synthetic,0.009569957968778908,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.8008978239790328,8,euclidean,brute,34,,Synthetic,0.030121340067125857,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.10313017379888197,9,l1,auto,15,,Synthetic,0.004427089006640017,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.9584090379597654,10,manhattan,auto,16,,Synthetic,0.015819996944628656,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.945499051472404,4,euclidean,auto,33,,Synthetic,0.008580335997976363,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.8292500744982774,7,l2,ball_tree,28,,Synthetic,0.0058944070478901284,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5312448714349439,16,l1,ball_tree,2,,Synthetic,0.005581356002949178,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5278299657790642,7,l2,brute,47,,Synthetic,0.039279483957216144,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6413610771521466,10,l1,ball_tree,9,,Synthetic,0.006703350925818086,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.013279221800740992,14,euclidean,auto,42,,Synthetic,0.0037037919973954563,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.4645074536376523,19,l2,kd_tree,40,,Synthetic,0.009970130980946124,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.9703747841610864,4,euclidean,brute,10,,Synthetic,0.03219586005434394,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.1379967126726821,5,euclidean,ball_tree,34,,Synthetic,0.003435940947383642,0.4852872872872873,0.07265613216307043,0.2080898654809281,0.21936811948519155,-0.05545373692449666,1.2292350526747275,48.82775264414713,0.0063986474656255255,0.16768711902028655,0.08904864828383009,0.7378236700521241
disk_1000n.csv,0.12450978149018856,12,manhattan,auto,36,,Synthetic,0.003947285003960133,0.5894774774774775,0.03223884089836091,0.04173871908002271,0.0432590047526577,-0.2564812879665184,3.16221612126876,1.149813363865424,0.0,0.020664423106369505,0.03320481053595352,inf
disk_1000n.csv,0.97528062339827,16,l1,brute,3,,Synthetic,0.01653565897140652,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6140859681391453,7,euclidean,brute,13,,Synthetic,0.030358687974512574,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7360144828725753,11,manhattan,brute,22,,Synthetic,0.015492710983380675,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.4422613387589417,13,l2,ball_tree,45,,Synthetic,0.005960062029771507,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.4014780721132063,3,euclidean,ball_tree,7,,Synthetic,0.004576746956445279,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7884278631921394,15,l2,auto,24,,Synthetic,0.00929070997517556,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.4945131321724001,18,euclidean,auto,35,,Synthetic,0.007283717044629157,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.1641218055688651,11,l2,kd_tree,35,,Synthetic,0.004955119919031858,0.6700940940940939,0.3485764112083445,0.3109241965266619,0.3154971527922979,-0.25141942096571784,2.322061036817665,19.300597190741968,0.0074689568049415905,0.04075483806623993,0.0875474251243491,2.1713418500547927
disk_1000n.csv,0.8253202707816869,3,euclidean,kd_tree,44,,Synthetic,0.008386033005081117,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.8329593411349658,3,euclidean,auto,36,,Synthetic,0.010407816036604343,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5501085086965918,9,l2,brute,8,,Synthetic,0.0334367819596082,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.3003605043730419,10,euclidean,auto,11,,Synthetic,0.007760593085549772,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
segment_RL.csv,0.4604366028789775,19,l2,auto,22,,Real,0.14505743805784732,0.28873690190277457,0.013036023603616794,0.15324185481346408,0.15799491834798626,-0.13352744660438726,1.2071828907290572,32.625674275135076,0.0984440562847084,0.010473430093125185,0.0,33.906798874001396
segment_RL.csv,0.6821534450565168,14,euclidean,ball_tree,30,,Real,0.09761640895158052,0.670152743171366,0.12548902342179333,0.4603784554649874,0.4664859372879106,-0.12548141793718678,1.5417363909530717,81.5230234954793,0.13493386244542338,0.02707409021382853,0.0,1.4444071796187712
segment_RL.csv,0.07923800021254578,2,euclidean,auto,30,,Real,0.10548418597318232,0.4116011316531022,0.0006873540642895154,0.08581956152703114,0.2270823009576264,-0.4433317125233688,1.2198567764392292,2.616033391716309,0.6931884242697784,4.43390164628504e-06,0.0,0.03534758206392582
segment_RL.csv,0.14818410242049182,12,manhattan,brute,35,,Real,0.08106229896657169,0.14248592464270246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment_RL.csv,0.6797346464278298,11,euclidean,ball_tree,35,,Real,0.09936915792059152,0.7381944171030356,0.1878113441925884,0.5149972483360298,0.5216380940561405,-0.09544137676458747,1.6011413737881155,88.11875446250556,0.01800885578245785,0.027420195695001544,0.0,1.0477174445860251
segment_RL.csv,0.1201241775490994,15,manhattan,auto,12,,Real,0.08068022702354938,0.14248592464270246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment_RL.csv,0.2952518544830093,3,euclidean,brute,3,,Real,0.12298164202366026,0.4748709641736926,0.02005104704952608,0.2264934153370577,0.2852640966240616,-0.3923990651052385,1.2938334114246162,5.870110430086712,0.2185680346647431,0.004775753080743079,0.0,1.5574483690608312
segment_RL.csv,0.2681926030555177,13,manhattan,auto,16,,Real,0.07618235098198056,0.14248592464270246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment_RL.csv,0.35242429113849777,3,l1,kd_tree,29,,Real,0.1636731419712305,0.2040920246203919,0.0013953503759598055,0.05041861309515678,0.07543724807909323,-0.512407357370995,1.3576198372867472,3.5307702197818167,0.2560607146822745,0.006381997676553958,0.0,36.28840989919681
segment_RL.csv,0.6353288255259415,7,l1,kd_tree,20,,Real,0.18030853499658409,0.25266574049597,0.004868948122688983,0.11593890112408355,0.12574546481174145,-0.2054301970195612,1.207518046499962,14.080177307043948,0.16749345166125,0.008064561201146053,0.0,33.48617012857059
segment_RL.csv,0.9386412619596802,7,l2,auto,30,,Real,0.1599507430801168,0.7200812180457048,0.2152557614096538,0.4748252406506533,0.4802380677065868,0.05599158455308443,1.5248579981447403,166.85565231388276,0.13761371134920825,0.08676416116339243,0.0,0.9282955381430428
segment_RL.csv,0.6288481333405754,12,manhattan,brute,32,,Real,0.07248205202631652,0.18244812787905035,0.0014104945403798452,0.04636309360167267,0.048874094995073177,-0.12491241066309385,1.096009019344621,25.885190796455607,2.2357453244834966,0.013812518457001956,0.0,325.48990677515883
segment_RL.csv,0.9944369504581168,10,euclidean,ball_tree,42,,Real,0.11282246105838567,0.7159299484981598,0.2143716538982784,0.467515331014367,0.4712370526354175,0.07674094628412174,1.5641175628643371,220.28045791380345,0.14236235755776974,0.08612720051884103,0.0,0.9962025691324892
