dataset,max_eps,eps,min_samples,cluster_method,xi,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
disk_1000n.csv,8.350881101990526e+18,4.545955818474848e+18,10,dbscan,0.7520074300698067,euclidean,auto,41,,Synthetic,1.606770150014199,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,6.97691123417597e+18,2.145369747506602e+18,15,xi,0.44041308765817055,euclidean,kd_tree,19,,Synthetic,1.4798891879618168,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,6.812257710559669e+18,1.010666960630869e+18,6,dbscan,0.4306296414398277,euclidean,auto,30,,Synthetic,1.50642659899313,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,2.019054484403016e+17,6.970256253517985e+18,4,xi,0.7283029907815883,l1,brute,12,,Synthetic,1.1618467480875552,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,5.082704642649279e+18,6.456527258437617e+18,10,xi,0.4338896340883967,l2,brute,21,,Synthetic,1.6926056570373476,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,1.145380003464876e+18,4.635846801878414e+18,11,dbscan,0.2630928305231113,l2,auto,29,,Synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,1.2711865114340116e+18,9.129345519262237e+18,16,xi,0.3853480274865633,l2,ball_tree,19,,Synthetic,2.7193583550397307,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,9.180308558976563e+18,6.4103028496571e+18,18,xi,0.8899488706345509,manhattan,auto,38,,Synthetic,1.483376621035859,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,5.659596429992488e+18,2.3189647658122194e+18,5,dbscan,0.3682383909793269,l2,kd_tree,19,,Synthetic,1.5303849520860242,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,2.7236742194811494e+18,7.157889898882824e+18,6,xi,0.20787716918899696,l2,auto,28,,Synthetic,1.586848534992896,0.5524404404404405,-0.02254793098048696,0.041868337636262416,0.0499577142793675,-0.5609274794093411,1.2208457385300102,6.575806655174342,1.530935461980064,0.02060187461500661,0.06268864097143029,22.499978930964726
disk_1000n.csv,8.86684984182008e+18,2.030346700032656e+18,12,xi,0.5147919154900921,l2,kd_tree,29,,Synthetic,1.7685062650125474,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,4.676473027693305e+18,8.115500652740924e+18,6,dbscan,0.23000543842894824,manhattan,auto,14,,Synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,4.5823036026642166e+18,7.483000347779445e+18,2,xi,0.711616057910473,manhattan,kd_tree,24,,Synthetic,1.9957811810309067,0.5626086086086086,0.01550288970080454,0.048780066909540634,0.08835230241645711,-0.6982304391264206,2.608125377733668,2.117784668217772,1.7689137139271418,0.0011786008274065536,0.03234357795657055,1.4945726420570211
disk_1000n.csv,4.5587168030841006e+18,3.852279315836676e+18,8,dbscan,0.6085777821387355,euclidean,kd_tree,31,,Synthetic,1.4402989420341328,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,1.4094864040077107e+17,7.633832559077058e+18,7,dbscan,0.7251576001635848,l2,auto,25,,Synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,5.442189222035881e+18,3.7888314530366126e+18,3,xi,0.3938256828074352,l1,kd_tree,26,,Synthetic,1.443338845972903,0.5210690690690689,-0.05220008722737154,0.0542041046346362,0.08246934671745014,-0.6129328490639941,1.0206341212495378,4.420346197596304,0.8291349392498303,0.006324057130758917,0.04305692139192074,1.8766728255289964
disk_1000n.csv,9.009220172165176e+18,3.12324482208171e+18,8,dbscan,0.8961103157628926,l1,ball_tree,19,,Synthetic,4.430671541020273,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,8.156583549679606e+17,7.595791025347461e+17,8,xi,0.6742533350357148,manhattan,brute,29,,Synthetic,2.505065881996416,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
