dataset,bin_seeding,cluster_all,max_iter,bandwidth,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
vertebral_RL.csv,False,True,159,2.402257706920103,,Real,0.2627756759757176,0.5592650589831925,-0.0033733070215385646,-0.002397019424300048,0.0038701726397943306,0.7590900146395779,0.16977775897443764,29.37143501141052,0.0,-1.2917744285458204e-13,0.12382791316231274,0.23480461997052074
vertebral_RL.csv,True,False,181,1.7840710227275929,,Real,0.5847838970366865,0.4693600584612173,-0.08730203807058687,0.09292491159501036,0.10411379076368477,0.2485083903629865,1.0859778522452426,54.79168848846016,0.0,0.13493886935819938,0.21648014477388908,0.5707448607472193
vertebral_RL.csv,False,True,389,1.9917958487074223,,Real,0.43337144306860864,0.4764589205553816,-0.08514416979922526,0.0930678266920127,0.1056637792871674,0.2935854688542583,1.0575819176024093,50.3311698812957,0.0,0.12819537348947924,0.21410890580717884,0.5636425434993291
vertebral_RL.csv,True,True,450,1.0809744155330259,,Real,0.5749932499602437,0.4480634721787243,-0.013766901083347678,0.07721331190761907,0.1268931204918614,0.10463410180452837,0.8867354559335224,32.52953141656801,0.0,0.05522056633118705,0.09139743204077544,0.4267949012199794
vertebral_RL.csv,True,True,56,0.5335880622568732,,Real,0.31122753000818193,0.4400250548073912,0.0015777951650424108,0.0360111956492238,0.1750516600678301,0.1063693802028735,0.4616657497620746,46.33703661596919,0.0,0.0093086137861556,0.04572846621884563,0.19821198582242106
vertebral_RL.csv,False,False,241,1.6927897947031108,,Real,0.5178301209816709,0.4647040400876918,-0.09064572510928487,0.08790806057614461,0.1005130722822442,0.21743580263569529,1.3148770186076073,48.34992149329046,0.0,0.1383318600254845,0.20176718286140768,0.574151119743116
vertebral_RL.csv,False,True,173,0.2893416683725836,,Real,0.3154801620403305,0.4386679194070362,0.0002894653265875428,0.006828694937556626,0.1944068936890873,0.043718782391136274,0.17802533834542816,115.16114111140759,0.0,0.002098557486634317,0.03823048065014776,0.10082170509452697
vertebral_RL.csv,False,False,394,1.2320697858635716,,Real,0.4641864880686626,0.4566238647040401,-0.003500242494753857,0.09369226107074924,0.13326342674059202,0.13869663597841875,0.840732533708435,36.025024579323365,0.0,0.057897216223682366,0.10629383679681244,0.4396306781156932
vertebral_RL.csv,False,False,261,0.1627086754759354,,Real,0.22050358704291284,0.4384591293454432,0.0,-4.5210778452772744e-15,0.19756879081428652,0.0,0.0,0.0,0.0,0.0,0.03711222521910151,0.0
vertebral_RL.csv,True,True,278,0.5413708740978376,,Real,0.31090589903760696,0.4396909907088423,0.001119470927818419,0.025872809005388585,0.16410121974700126,0.11846792288822985,0.4257321838335085,52.784641303419114,0.0,0.007525211663390245,0.046080392446859235,0.18667202403483546
vertebral_RL.csv,True,True,114,0.9583553283334024,,Real,0.4731106699910015,0.4444305251070049,-0.014340042927890588,0.07510969076494148,0.13700653552564396,0.06988033088184913,0.7943809264299545,28.185779733468042,0.0,0.05093041846420165,0.07919633038758371,0.4085898965565533
vertebral_RL.csv,True,True,455,1.6218668219103067,,Real,0.6173231750726701,0.4674183108884017,-0.08402573082024023,0.1039851636916609,0.11432894793341734,0.27559952467621224,1.5678002429535085,48.409369964949434,0.03223030427498644,0.12829210429992874,0.21932364948172714,0.5656572802939687
vertebral_RL.csv,False,True,129,1.479702666158725,,Real,0.6726427449611947,0.4886940181647354,-0.00611874949022323,0.0916767440545503,0.11908249532266768,0.1208263285184595,0.8728228938464528,33.263105596872094,0.0,0.09866385340114396,0.14600306373798894,0.5348698796011906
vertebral_RL.csv,True,False,125,1.5200903886658519,,Real,0.6970879470463842,0.486626996554964,-0.015160397172769409,0.10515901719034153,0.1271691043966877,0.2114062822288058,0.8553994217761063,40.75264354033772,0.0,0.09629638803050604,0.16362383694114355,0.5340145121644506
vertebral_RL.csv,True,True,456,1.011339734067341,,Real,0.5258324759779498,0.4455997494519261,-0.013470168978497482,0.07008384145712739,0.12968312184309969,0.0937778487073986,0.7836581719293884,29.006900322298364,0.0,0.05169750612056618,0.08178309453857634,0.4123967009124614
vertebral_RL.csv,True,True,468,1.7989648358446426,,Real,0.5377233719918877,0.4693600584612173,-0.08730203807058687,0.09292491159501036,0.10411379076368477,0.2485083903629865,1.0859778522452426,54.79168848846016,0.0,0.13493886935819938,0.21648014477388908,0.5707448607472193
vertebral_RL.csv,False,True,471,0.3206025510904985,,Real,0.31492938299197704,0.4386887984131955,0.0002763196054688036,0.006777173470406616,0.1919979921742796,0.04462074242946245,0.18779358075162148,106.35587090182808,0.0,0.0028057930722215824,0.03856349938380034,0.11134019388662103
vertebral_RL.csv,False,False,97,2.0501962925098702,,Real,0.3516736520687118,0.4845599749451926,-0.08076448202236318,0.0803378709793652,0.0912358490785947,0.3028973427539705,0.9429364126197796,53.14894712551125,0.0,0.14042954602042534,0.22294243829517515,0.5703039559702339
vertebral_RL.csv,False,False,264,2.4444428640418026,,Real,0.2046374189667404,0.5592650589831925,-0.0033733070215385646,-0.002397019424300048,0.0038701726397943306,0.7590900146395779,0.16977775897443764,29.37143501141052,0.0,-1.2917744285458204e-13,0.12382791316231274,0.23480461997052074
vertebral_RL.csv,True,False,89,1.5850107885167617,,Real,1.1162990320008248,0.4733270696314855,-0.06865068208897278,0.10897932868529614,0.12203936127665868,0.2709955590807893,1.1706563992438408,51.49618900347929,0.0,0.12853483982201047,0.2079979893570808,0.5659526695230361
