dataset,eps,min_samples,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,0.3178841250266374,12,l2,auto,48,None,Real,0.0019975510000449503,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7770140138369814,9,manhattan,kd_tree,16,None,Real,0.002806384999985312,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.8630990007370801,18,l1,ball_tree,39,None,Real,0.0021081720000211135,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.6471053950284865,7,manhattan,kd_tree,28,None,Real,0.0023348739999846657,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.9916457524226694,9,euclidean,ball_tree,38,None,Real,0.0018016909999687414,0.5197619793297839,0.02935433491961228,0.2638473576681086,0.10516847389338772,0.10744336008667082
vertebral_RL.csv,0.7786021900465601,13,manhattan,kd_tree,2,None,Real,0.005025928999998541,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.18538325810094491,8,l1,ball_tree,15,None,Real,0.0018687199999476434,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5834127867538794,16,euclidean,ball_tree,31,None,Real,0.0016235999999594242,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.34408732212573195,7,l2,ball_tree,23,None,Real,0.0016251380000085192,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.12244585900600632,18,l2,brute,49,None,Real,0.0027788270000428383,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7959928753157008,2,l2,brute,43,None,Real,0.0027897260000031565,0.4811984549535442,-0.026197428338871124,-0.3112051822036347,0.055566105302130464,0.08434032340860642
vertebral_RL.csv,0.5553829980465576,5,manhattan,ball_tree,40,None,Real,0.0020931609999479406,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7612071178029205,13,l2,kd_tree,41,None,Real,0.0021725330000208487,0.6006890072032571,0.1810803063600384,0.1341779964663994,0.0938963609446339,0.09631862573039483
vertebral_RL.csv,0.302436378508866,19,l2,brute,16,None,Real,0.0026846659999932854,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.08993185694719943,15,euclidean,kd_tree,22,None,Real,0.0018769409999777054,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.6360450029459787,13,manhattan,ball_tree,26,None,Real,0.001998051000043688,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7235028115647941,4,euclidean,auto,49,None,Real,0.0021579819999715255,0.5426244910742248,0.10851817923829883,-0.01669305105586701,0.12143093853516675,0.13058577557954143
vertebral_RL.csv,0.045943350182514366,7,manhattan,ball_tree,6,None,Real,0.0018658509999909256,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.550201390132649,13,l2,kd_tree,41,None,Real,0.0022143429999914588,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.2780151577518771,18,l1,kd_tree,42,None,Real,0.001821689999985665,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.44122440361047494,7,l1,ball_tree,2,None,Real,0.0019225820000201566,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.37290709591446736,7,manhattan,brute,25,None,Real,0.0023914339999464573,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7168811975115886,11,manhattan,ball_tree,45,None,Real,0.0020763720000331887,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5179523071569171,2,manhattan,auto,17,None,Real,0.002619625000022552,0.5857605177993528,0.08117357535107925,-0.43647751417093755,0.04971778497418789,0.08381299925308246
vertebral_RL.csv,0.28288998808240245,6,euclidean,brute,3,None,Real,0.0027765950000002704,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7998527215171628,12,euclidean,kd_tree,43,None,Real,0.0022065140000222527,0.6286877544628876,0.24680139064020576,0.17147255248279883,0.1495967729749631,0.15178493621435363
vertebral_RL.csv,0.24666777272270357,16,l1,kd_tree,17,None,Real,0.0020633020000104807,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.06650561335349678,10,l1,auto,32,None,Real,0.0017096299999934672,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.45317711216996426,12,l2,auto,28,None,Real,0.002400502000000415,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.826576933910317,17,manhattan,kd_tree,49,None,Real,0.002235813000027065,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.32692940763036954,16,manhattan,kd_tree,42,None,Real,0.001862312000014299,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.3551177456738259,14,l1,ball_tree,35,None,Real,0.0019905409999978474,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.8710861725005615,17,l1,ball_tree,38,None,Real,0.002051520999998502,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.9906277863902891,17,euclidean,kd_tree,6,None,Real,0.005610681000007389,0.5592650589831925,0.11842817114917463,0.21199452996273538,0.12578986291678762,0.12793897534773935
vertebral_RL.csv,0.518392840377849,8,manhattan,kd_tree,16,None,Real,0.0025888449999911245,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.3458929229669878,3,l1,brute,44,None,Real,0.0024948850000328093,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5110499401252036,11,manhattan,kd_tree,37,None,Real,0.0021808309999755693,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.9479024100543341,3,euclidean,brute,12,None,Real,0.0026961460000052284,0.49195114312558724,-0.05069408655674331,0.06286316646871917,0.051987267687834945,0.060669721019465175
vertebral_RL.csv,0.015479483511268297,5,l2,kd_tree,27,None,Real,0.0018327619999922717,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.9319545925269784,6,l2,brute,48,None,Real,0.0028109360000030392,0.5054181020983401,0.002947033130157308,0.1228086136251874,0.10271607856721811,0.1072214083138775
vertebral_RL.csv,0.9986243671713646,6,manhattan,ball_tree,11,None,Real,0.0020342610000056993,0.568827643804155,0.05416563765257899,-0.2504829767838883,0.022834297041122817,0.03378082639092693
vertebral_RL.csv,0.22498121816909775,5,euclidean,ball_tree,42,None,Real,0.0017021500000282686,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.2269525923197394,3,manhattan,ball_tree,20,None,Real,0.0019809219999729066,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7789635174670835,7,l1,auto,15,None,Real,0.002901006000001871,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.8813235739664083,15,l2,brute,17,None,Real,0.0029483060000075056,0.6189790165988099,0.23060877946499495,0.19642316268743024,0.14385730537732527,0.14602712786825925
vertebral_RL.csv,0.7285308047939748,12,l1,brute,28,None,Real,0.0024654240000359096,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.4656017650194545,19,l1,kd_tree,21,None,Real,0.0021766610000213404,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.6065973921404065,2,l1,ball_tree,32,None,Real,0.002032831000008173,0.5909385113268608,0.10446096492493863,-0.4342655081969022,0.06296938324565245,0.10628661794513299
vertebral_RL.csv,0.08191425008776543,15,l1,brute,22,None,Real,0.0023446229999990464,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.1629671653506033,10,l1,auto,13,None,Real,0.00194682199997942,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.22228208585079573,10,euclidean,brute,4,None,Real,0.0025722249999944324,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.21833873791832792,4,euclidean,kd_tree,31,None,Real,0.0022266419999823484,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5547305368538556,15,manhattan,brute,30,None,Real,0.0023988030000055005,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.09069454823676784,15,manhattan,ball_tree,6,None,Real,0.0017856389999906241,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5890353141409855,15,manhattan,kd_tree,48,None,Real,0.0022033640000245214,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.09321006748846693,7,euclidean,kd_tree,45,None,Real,0.0016953389999798674,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.4527054057089948,14,euclidean,auto,49,None,Real,0.0020100229999684416,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.3104688153818003,5,l2,auto,37,None,Real,0.0021826819999546387,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5623708100600988,4,manhattan,auto,33,None,Real,0.001518369000052644,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.7846691939737731,9,manhattan,brute,27,None,Real,0.0017315389999907893,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.27297434316797436,12,l1,brute,2,None,Real,0.0018440510000345967,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.06820039010439624,9,l1,brute,45,None,Real,0.001698570000030486,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.23990035716453495,4,euclidean,kd_tree,36,None,Real,0.0014163079999889305,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.09878830739883696,6,l1,kd_tree,15,None,Real,0.0013576869999951668,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
dense-disk-5000.csv,0.7597941957813944,15,l2,ball_tree,31,None,Synthetic,0.057609267999964686,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.46779733013896135,2,l1,kd_tree,18,None,Synthetic,0.045034224999994876,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.9721835648732549,11,l1,ball_tree,5,None,Synthetic,0.06139927799995348,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.4270304216073624,2,euclidean,brute,14,None,Synthetic,0.2175156339999944,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.7951189694400745,15,l1,brute,10,None,Synthetic,0.14658904000003758,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.2291101806328504,7,l2,brute,22,None,Synthetic,0.24935709400000405,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.03247281733288461,9,manhattan,brute,3,None,Synthetic,0.09830438800003094,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.5586204362335192,11,euclidean,kd_tree,6,None,Synthetic,0.10715611699998817,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.723560448870053,5,l2,kd_tree,11,None,Synthetic,0.10704936600001247,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.3791231567158081,8,l1,brute,5,None,Synthetic,0.11055624499999794,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.17383276056137806,10,l1,brute,17,None,Synthetic,0.10092873100001043,0.7772475663600107,0.5369343142828986,-0.23366672144469716,0.36964218548058436,0.37158912564415486
dense-disk-5000.csv,0.18266278793970092,5,euclidean,brute,4,None,Synthetic,0.21154733700001316,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.0855970966572724,9,manhattan,ball_tree,20,None,Synthetic,0.012597961000039959,0.48197210470505464,0.05179613262749669,-0.24237495314232935,0.21062682255874465,0.21413024859874816
dense-disk-5000.csv,0.1402098524047681,8,manhattan,auto,25,None,Synthetic,0.017525379000005614,0.8475219653774693,0.6897488696830564,-0.33014188723706694,0.44426242769743723,0.447191971231176
dense-disk-5000.csv,0.34357441861566235,7,manhattan,kd_tree,30,None,Synthetic,0.031267027000012604,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.5712048891558716,12,manhattan,kd_tree,20,None,Synthetic,0.05027457400001367,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.16535665084752996,2,l2,auto,43,None,Synthetic,0.024921469999981127,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.9674028090876317,11,l2,kd_tree,22,None,Synthetic,0.11585672400002522,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.6718105462789253,8,l2,ball_tree,37,None,Synthetic,0.04630606200004195,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.6069474148726213,2,manhattan,auto,20,None,Synthetic,0.052693056999999044,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.9947731136556432,14,manhattan,brute,18,None,Synthetic,0.1547963429999868,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.8401739797793942,12,manhattan,kd_tree,36,None,Synthetic,0.07138173099997402,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.37644340354274863,8,manhattan,auto,35,None,Synthetic,0.03351252900000645,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.6523203971038153,11,manhattan,auto,40,None,Synthetic,0.056504888000006304,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.3523391126215329,9,manhattan,kd_tree,21,None,Synthetic,0.03179809099998465,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.044145121686579525,19,l2,auto,44,None,Synthetic,0.01576909999999998,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.6470746813109416,16,euclidean,brute,4,None,Synthetic,0.24786933799998678,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.5063562093191062,18,manhattan,ball_tree,25,None,Synthetic,0.034761535999962234,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.11938017285157329,8,l2,auto,34,None,Synthetic,0.023688084000013987,0.804690189738628,0.597841625297626,-0.3331827935662471,0.3851989299581785,0.3883074221313521
dense-disk-5000.csv,0.024539529992128786,18,l2,auto,37,None,Synthetic,0.016365581000002294,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.8114678031404745,3,euclidean,brute,44,None,Synthetic,0.23656113999999206,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.8244113223352395,6,manhattan,ball_tree,48,None,Synthetic,0.06548179699996126,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.2741499283210044,18,l2,ball_tree,9,None,Synthetic,0.02157467199998564,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.6736663181216641,2,euclidean,brute,10,None,Synthetic,0.22515668599999117,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.16948568340337547,14,l1,brute,26,None,Synthetic,0.10609084499998289,0.8822941859280219,0.7590637420912659,-0.35799083332060944,0.583580210684757,0.5846589493633525
dense-disk-5000.csv,0.13463162897152353,8,manhattan,kd_tree,45,None,Synthetic,0.01747591899999179,0.8724341907196965,0.7418470388715221,-0.3205681418627677,0.48515317601991437,0.4879638691072927
dense-disk-5000.csv,0.3178841250266374,12,l2,auto,48,None,Synthetic,0.03735151000000769,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.7770140138369814,9,manhattan,kd_tree,16,None,Synthetic,0.06930122800002891,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.8630990007370801,18,l1,ball_tree,39,None,Synthetic,0.05706429899998966,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.6471053950284865,7,manhattan,kd_tree,28,None,Synthetic,0.05594041299997343,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.9916457524226694,9,euclidean,ball_tree,38,None,Synthetic,0.06910872700001391,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.7786021900465601,13,manhattan,kd_tree,2,None,Synthetic,0.11060394900005122,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.18538325810094491,8,l1,ball_tree,15,None,Synthetic,0.01742041799997196,0.5809593291207261,0.029076334221630126,0.14510863203888058,0.03997704893926689,0.04057186940950579
dense-disk-5000.csv,0.5834127867538794,16,euclidean,ball_tree,31,None,Synthetic,0.039648949999957495,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.34408732212573195,7,l2,ball_tree,23,None,Synthetic,0.025134499999978743,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.12244585900600632,18,l2,brute,49,None,Synthetic,0.22629191499999024,0.9684995022213726,0.9354963681014266,0.20904783207002103,0.8767642936168785,0.8767843611561755
dense-disk-5000.csv,0.7959928753157008,2,l2,brute,43,None,Synthetic,0.3147131519999675,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.5553829980465576,5,manhattan,ball_tree,40,None,Synthetic,0.04525248200002352,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.7612071178029205,13,l2,kd_tree,41,None,Synthetic,0.0806589709999912,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.302436378508866,19,l2,brute,16,None,Synthetic,0.2594838599999889,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.08993185694719943,15,euclidean,kd_tree,22,None,Synthetic,0.022441524999976536,0.5130694005948049,0.10313094764683803,-0.3089983133413168,0.26839894672511816,0.26996249326990995
dense-disk-5000.csv,0.6360450029459787,13,manhattan,ball_tree,26,None,Synthetic,0.04554908500000465,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.7235028115647941,4,euclidean,auto,49,None,Synthetic,0.07607783600002449,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.045943350182514366,7,manhattan,ball_tree,6,None,Synthetic,0.010801941000011084,0.5368215699962722,-0.047772576385724616,-0.7070825114296313,0.03190549533620538,0.03851303743634104
dense-disk-5000.csv,0.550201390132649,13,l2,kd_tree,41,None,Synthetic,0.05931836999997131,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
dense-disk-5000.csv,0.2780151577518771,18,l1,kd_tree,42,None,Synthetic,0.02694331000003558,0.5740569482443908,0.007346381810495363,0.2574263359949649,0.010676137205439024,0.011001230371958545
dense-disk-5000.csv,0.44122440361047494,7,l1,ball_tree,2,None,Synthetic,0.03161754600000677,0.5717635724023556,0.0,0.0,-3.954559822979371e-15,0.0
